expr_id,run_num,eb_throughput,eb_miles,eb_stops,eb_routes,eb_num_agents,van_throughput,van_miles,van_stops,van_routes,van_num_agents,car_throughput,car_miles,car_stops,car_routes,car_num_agents
D_100_SF_70,0,100,7.76,9,23,2,100,4.979999999999995,11,46,4,100,9.579999999999998,10,9,2
D_100_SF_70,1,100,12.059999999999999,7,23,2,70,4.839999999999998,6,46,4,100,9.119999999999996,16,13,2
D_100_SF_70,2,100,12.7,11,39,2,71,6.279999999999999,7,46,4,100,6.02,10,10,2
D_100_SF_70,3,100,3.3200000000000007,12,33,2,100,2.5600000000000005,9,46,4,100,7.479999999999997,11,9,2
D_100_SF_70,4,100,12.019999999999996,12,22,2,93,2.9600000000000004,13,46,4,100,13.339999999999993,15,11,2
D_100_SF_70,5,100,9.459999999999997,9,32,2,72,2.6,3,46,4,100,9.459999999999997,12,13,2
D_100_SF_70,6,100,2.1199999999999997,15,40,2,80,4.02,9,46,4,100,10.779999999999998,6,8,2
D_100_SF_70,7,100,19.919999999999995,11,18,2,83,2.4000000000000004,11,46,4,99,14.979999999999997,10,5,2
D_100_SF_70,8,100,1.3800000000000003,11,20,2,100,7.939999999999994,15,46,4,100,9.259999999999998,14,12,2
D_100_SF_70,9,100,14.259999999999998,11,24,2,69,7.219999999999999,5,46,4,100,11.959999999999997,8,9,2
D_100_SF_70,10,100,16.759999999999998,11,26,2,74,4.279999999999996,11,46,4,100,6.499999999999995,18,11,2
D_100_SF_70,11,100,2.32,11,35,2,79,3.7,7,46,4,100,13.639999999999997,11,9,2
D_100_SF_70,12,100,8.319999999999997,12,33,2,73,4.159999999999998,9,46,4,100,9.199999999999992,16,7,2
D_100_SF_70,13,100,8.859999999999996,16,35,2,94,2.0199999999999996,6,46,4,100,9.539999999999996,17,15,2
D_100_SF_70,14,100,16.039999999999996,18,25,2,93,4.6,8,46,4,100,18.459999999999997,14,11,2
D_100_SF_70,15,100,12.619999999999997,11,27,2,100,4.279999999999994,14,46,4,100,9.099999999999998,10,13,2
D_100_SF_70,16,100,16.86,11,15,2,94,4.179999999999996,10,46,4,100,6.919999999999996,13,12,2
D_100_SF_70,17,100,13.099999999999998,10,22,2,79,2.42,5,46,4,100,9.759999999999998,11,14,2
D_100_SF_70,18,100,13.439999999999998,10,26,2,96,3.7600000000000002,8,46,4,100,12.999999999999996,10,12,2
D_100_SF_70,19,100,14.239999999999998,10,28,2,100,3.74,10,46,4,100,21.22,8,8,2
D_100_SF_70,20,100,18.439999999999998,10,33,2,100,3.6000000000000005,15,46,4,100,6.619999999999996,15,10,2
D_100_SF_70,21,100,12.019999999999996,21,27,2,80,6.839999999999998,6,46,4,100,9.819999999999995,13,7,2
D_100_SF_70,22,100,4.479999999999999,10,31,2,64,2.16,8,46,4,100,13.459999999999997,9,7,2
D_100_SF_70,23,100,17.819999999999997,13,30,2,85,3.66,5,46,4,100,7.539999999999997,11,16,2
D_100_SF_70,24,100,11.36,11,12,2,77,5.18,6,46,4,100,22.699999999999996,11,11,2
D_100_SF_70,25,100,4.799999999999999,12,23,2,80,5.879999999999997,7,46,4,100,10.079999999999995,14,8,2
D_100_SF_70,26,100,3.8800000000000003,13,39,2,85,5.179999999999998,6,46,4,100,10.219999999999997,11,10,2
D_100_SF_70,27,100,14.799999999999997,16,33,2,84,3.7,7,46,4,100,10.899999999999995,14,13,2
D_100_SF_70,28,100,8.959999999999997,14,35,2,100,4.719999999999999,9,46,4,100,20.819999999999993,13,11,2
D_100_SF_70,29,100,3.6799999999999997,14,41,2,65,2.02,4,46,4,100,3.06,11,11,2
