expr_id,run_num,eb_throughput,eb_miles,eb_stops,eb_routes,eb_num_agents,van_throughput,van_miles,van_stops,van_routes,van_num_agents,car_throughput,car_miles,car_stops,car_routes,car_num_agents
D_50_SF_70,0,47,6.74,4,3,1,50,4.6,2,3,1,50,3.66,4,8,1
D_50_SF_70,1,50,6.199999999999999,5,9,1,50,4.360000000000001,3,3,1,50,14.219999999999999,6,5,1
D_50_SF_70,2,50,5.34,7,17,1,50,1.32,4,5,1,50,2.68,4,9,1
D_50_SF_70,3,50,3.5400000000000005,8,16,1,50,3.66,5,3,1,50,2.96,8,6,1
D_50_SF_70,4,50,4.5200000000000005,4,9,1,50,2.2800000000000002,6,4,1,50,5.52,7,5,1
D_50_SF_70,5,50,10.399999999999999,7,16,1,50,3.94,8,5,1,50,8.759999999999998,7,9,1
D_50_SF_70,6,50,7.92,5,14,1,50,4.499999999999998,6,10,1,50,7.5600000000000005,7,5,1
D_50_SF_70,7,50,4.1,6,15,1,50,5.0600000000000005,2,4,1,50,3.3000000000000003,8,10,1
D_50_SF_70,8,50,3.5800000000000005,10,13,1,50,4.84,6,9,1,50,7.879999999999999,5,5,1
D_50_SF_70,9,50,1.1800000000000002,4,24,1,50,5.599999999999998,5,4,1,50,13.299999999999999,6,6,1
D_50_SF_70,10,50,5.659999999999998,7,20,1,50,6.719999999999997,7,10,1,50,6.3199999999999985,5,6,1
D_50_SF_70,11,50,2.2600000000000002,9,21,1,50,1.42,3,6,1,50,5.959999999999997,7,5,1
D_50_SF_70,12,50,4.56,8,15,1,50,5.099999999999998,8,7,1,50,3.2600000000000002,8,6,1
D_50_SF_70,13,50,7.9,6,14,1,50,2.32,7,10,1,50,3.2,4,3,1
D_50_SF_70,14,50,3.900000000000001,4,9,1,50,3.38,7,7,1,50,5.36,3,10,1
D_50_SF_70,15,50,4.74,7,28,1,50,4.159999999999998,4,6,1,50,5.639999999999999,7,4,1
D_50_SF_70,16,50,6.04,9,22,1,50,1.7200000000000002,3,4,1,50,12.279999999999998,11,6,1
D_50_SF_70,17,50,6.04,4,17,1,50,0.9000000000000001,5,8,1,50,5.119999999999999,9,6,1
D_50_SF_70,18,50,9.419999999999998,13,22,1,50,2.56,7,7,1,50,8.82,5,7,1
D_50_SF_70,19,50,5.4399999999999995,9,19,1,50,2.2,4,8,1,50,5.219999999999997,10,9,1
D_50_SF_70,20,50,3.92,7,21,1,50,5.579999999999998,4,8,1,50,4.76,7,8,1
D_50_SF_70,21,50,5.639999999999999,7,20,1,50,5.3199999999999985,6,7,1,50,7.299999999999997,7,8,1
D_50_SF_70,22,50,6.419999999999998,7,20,1,50,5.92,3,2,1,50,4.42,4,8,1
D_50_SF_70,23,50,4.999999999999998,9,21,1,50,5.16,3,4,1,50,10.620000000000001,5,6,1
D_50_SF_70,24,50,10.68,7,14,1,50,4.68,2,6,1,50,5.779999999999999,6,3,1
D_50_SF_70,25,50,4.220000000000001,10,16,1,50,4.979999999999999,7,4,1,50,7.82,7,9,1
D_50_SF_70,26,50,5.839999999999999,6,17,1,50,7.239999999999998,5,10,1,50,12.259999999999998,5,6,1
D_50_SF_70,27,50,5.379999999999997,8,20,1,50,5.56,4,5,1,50,4.68,9,9,1
D_50_SF_70,28,50,1.1400000000000006,6,5,1,50,2.8200000000000003,3,5,1,50,6.6,7,8,1
D_50_SF_70,29,50,6.4,5,3,1,50,3.14,4,6,1,50,9.759999999999998,8,3,1
