expr_id,run_num,eb_throughput,eb_miles,eb_stops,eb_routes,eb_num_agents,van_throughput,van_miles,van_stops,van_routes,van_num_agents,car_throughput,car_miles,car_stops,car_routes,car_num_agents
D_150_SF_70,0,150,15.51999999999999,24,53,3,82,3.7800000000000002,5,76,6,150,16.519999999999996,11,14,3
D_150_SF_70,1,150,5.659999999999997,22,61,3,88,1.9599999999999997,5,76,6,150,7.319999999999996,13,15,3
D_150_SF_70,2,150,12.019999999999998,14,42,3,74,6.859999999999998,10,76,6,150,16.899999999999995,13,19,3
D_150_SF_70,3,150,16.439999999999994,19,51,3,79,4.079999999999998,4,76,6,150,7.299999999999996,13,15,3
D_150_SF_70,4,150,14.599999999999996,14,41,3,66,3.22,5,76,6,150,14.099999999999994,15,20,3
D_150_SF_70,5,150,6.1,13,43,3,97,3.64,8,76,6,138,27.979999999999997,12,6,3
D_150_SF_70,6,149,16.339999999999993,18,33,3,77,2.68,12,76,6,150,8.939999999999994,17,11,3
D_150_SF_70,7,150,3.0400000000000014,24,54,3,59,2.52,4,76,6,150,8.859999999999992,18,16,3
D_150_SF_70,8,150,32.42000000000001,27,37,3,81,3.3800000000000003,10,76,6,150,22.759999999999994,16,16,3
D_150_SF_70,9,150,17.059999999999995,21,41,3,83,1.1600000000000001,9,76,6,150,10.459999999999997,12,18,3
D_150_SF_70,10,150,17.139999999999993,19,46,3,75,4.68,4,76,6,150,17.07999999999999,19,18,3
D_150_SF_70,11,150,12.859999999999996,17,43,3,92,1.8200000000000003,10,76,6,150,15.779999999999994,14,10,3
D_150_SF_70,12,150,9.679999999999994,21,74,3,107,3.7,10,76,6,150,23.539999999999996,13,18,3
D_150_SF_70,13,150,17.53999999999999,30,50,3,72,3.04,5,76,6,150,11.339999999999996,11,20,3
D_150_SF_70,14,150,8.239999999999993,20,69,3,100,3.14,12,76,6,150,12.499999999999993,20,19,3
D_150_SF_70,15,150,25.639999999999997,16,39,3,87,3.6399999999999997,8,76,6,150,3.5400000000000005,18,22,3
D_150_SF_70,16,150,4.659999999999997,23,38,3,63,4.559999999999999,6,76,6,150,23.47999999999999,20,16,3
D_150_SF_70,17,150,5.800000000000001,13,45,3,62,4.039999999999999,6,76,6,150,18.839999999999996,16,14,3
D_150_SF_70,18,150,6.719999999999997,20,57,3,78,4.039999999999999,10,76,6,150,21.919999999999995,16,15,3
D_150_SF_70,19,150,16.399999999999995,16,26,3,86,4.979999999999999,10,76,6,150,10.619999999999996,13,19,3
D_150_SF_70,20,150,19.539999999999996,16,32,3,75,5.559999999999999,8,76,6,150,15.339999999999998,12,14,3
D_150_SF_70,21,150,5.479999999999997,19,64,3,86,3.2,11,76,6,150,16.539999999999996,16,12,3
D_150_SF_70,22,150,19.67999999999999,26,39,3,81,7.479999999999999,6,76,6,150,17.82,11,12,3
D_150_SF_70,23,135,4.800000000000001,17,46,3,100,0.96,11,76,6,144,16.539999999999992,21,16,3
D_150_SF_70,24,150,13.699999999999994,16,36,3,100,4.6999999999999975,8,76,6,150,5.519999999999994,22,16,3
D_150_SF_70,25,150,24.299999999999994,24,54,3,66,4.26,4,76,6,150,16.219999999999995,15,17,3
D_150_SF_70,26,150,19.319999999999993,17,36,3,68,4.3,4,76,6,150,19.139999999999993,20,15,3
D_150_SF_70,27,150,10.119999999999996,20,62,3,91,7.519999999999996,9,76,6,150,12.459999999999996,15,13,3
D_150_SF_70,28,150,7.6999999999999975,16,49,3,89,2.4400000000000004,7,76,6,139,4.519999999999998,12,11,3
D_150_SF_70,29,150,14.439999999999998,17,49,3,85,2.46,7,76,6,150,10.339999999999996,19,14,3
