expr_id,run_num,eb_throughput,eb_miles,eb_stops,eb_routes,eb_num_agents,van_throughput,van_miles,van_stops,van_routes,van_num_agents,car_throughput,car_miles,car_stops,car_routes,car_num_agents
D_100_SF_30,0,100,14.799999999999997,14,15,2,67,4.82,3,46,4,100,10.639999999999997,10,11,2
D_100_SF_30,1,100,3.66,13,32,2,100,4.179999999999996,14,46,4,100,7.959999999999997,8,15,2
D_100_SF_30,2,100,14.059999999999999,10,19,2,80,6.799999999999999,3,46,4,100,7.619999999999997,10,6,2
D_100_SF_30,3,100,6.919999999999998,13,29,2,64,3.48,2,46,4,100,8.319999999999997,10,10,2
D_100_SF_30,4,100,12.679999999999996,13,28,2,100,3.5600000000000005,13,46,4,100,7.479999999999998,10,8,2
D_100_SF_30,5,100,10.219999999999999,9,32,2,85,4.24,5,46,4,100,7.139999999999999,7,13,2
D_100_SF_30,6,100,5.400000000000002,10,15,2,63,5.539999999999999,5,46,4,100,10.639999999999997,12,12,2
D_100_SF_30,7,99,7.299999999999997,10,11,2,100,2.0799999999999996,7,46,4,100,9.039999999999996,12,9,2
D_100_SF_30,8,100,17.759999999999994,12,26,2,51,4.039999999999999,3,46,4,100,18.159999999999997,10,7,2
D_100_SF_30,9,100,9.18,10,32,2,76,3.3800000000000003,7,46,4,100,3.6399999999999997,12,12,2
D_100_SF_30,10,100,9.6,10,19,2,81,5.539999999999997,8,46,4,100,6.559999999999999,11,14,2
D_100_SF_30,11,100,2.900000000000001,16,28,2,78,5.159999999999998,4,46,4,100,8.62,6,6,2
D_100_SF_30,12,100,10.68,11,30,2,87,4.799999999999999,6,46,4,100,10.799999999999999,9,7,2
D_100_SF_30,13,100,11.559999999999999,10,33,2,82,5.579999999999999,11,46,4,100,9.639999999999997,10,10,2
D_100_SF_30,14,100,5.999999999999998,12,32,2,81,6.019999999999998,6,46,4,100,17.199999999999996,14,9,2
D_100_SF_30,15,100,10.879999999999999,9,30,2,84,1.6800000000000002,4,46,4,100,8.559999999999999,7,11,2
D_100_SF_30,16,100,3.52,10,25,2,100,3.9200000000000004,8,46,4,100,5.84,10,13,2
D_100_SF_30,17,100,6.799999999999999,12,25,2,74,7.040000000000001,4,46,4,100,5.74,9,9,2
D_100_SF_30,18,100,9.459999999999997,13,27,2,75,0.72,3,46,4,100,9.759999999999996,13,5,2
D_100_SF_30,19,100,15.299999999999995,16,31,2,81,4.979999999999999,4,46,4,100,8.719999999999995,11,11,2
D_100_SF_30,20,100,13.159999999999998,11,20,2,90,4.899999999999999,5,46,4,100,10.219999999999995,10,10,2
D_100_SF_30,21,97,7.059999999999999,10,18,2,78,3.1599999999999993,4,46,4,100,4.839999999999996,10,7,2
D_100_SF_30,22,100,5.379999999999999,10,25,2,89,4.539999999999999,5,46,4,100,4.659999999999998,9,7,2
D_100_SF_30,23,100,19.3,9,18,2,95,6.119999999999997,7,46,4,100,11.459999999999997,9,9,2
D_100_SF_30,24,93,8.119999999999997,9,22,2,77,4.519999999999998,7,46,4,100,2.8600000000000003,13,10,2
D_100_SF_30,25,100,10.26,8,30,2,79,3.4,6,46,4,100,9.939999999999996,11,3,2
D_100_SF_30,26,100,15.239999999999997,11,22,2,100,4.759999999999998,7,46,4,100,11.439999999999998,11,9,2
D_100_SF_30,27,100,21.939999999999998,10,16,2,85,3.0200000000000005,5,46,4,100,8.92,8,9,2
D_100_SF_30,28,100,10.540000000000001,6,15,2,100,1.6600000000000001,6,46,4,100,6.14,6,8,2
D_100_SF_30,29,100,19.459999999999997,11,23,2,100,4.699999999999999,5,46,4,100,14.939999999999998,11,12,2
