expr_id,run_num,eb_throughput,eb_miles,eb_stops,eb_routes,eb_num_agents,van_throughput,van_miles,van_stops,van_routes,van_num_agents,car_throughput,car_miles,car_stops,car_routes,car_num_agents
D_50_SF_30,0,50,4.74,7,2,1,50,4.099999999999998,6,1,1,50,5.219999999999999,5,1,1
D_50_SF_30,1,50,1.86,5,2,1,50,5.819999999999997,9,1,1,50,2.16,8,1,1
D_50_SF_30,2,50,7.68,7,2,1,50,5.02,2,1,1,50,7.680000000000001,4,2,1
D_50_SF_30,3,50,1.12,5,2,1,50,0.8200000000000001,6,1,1,50,3.74,2,1,1
D_50_SF_30,4,50,3.0800000000000005,8,2,1,50,3.98,4,1,1,50,2.02,4,1,1
D_50_SF_30,5,50,5.220000000000001,6,2,1,50,4.299999999999999,4,1,1,50,2.2600000000000002,6,1,1
D_50_SF_30,6,50,1.34,7,2,1,50,3.5599999999999996,7,1,1,50,1.88,5,1,1
D_50_SF_30,7,50,6.9399999999999995,6,2,1,50,5.6,3,1,1,50,4.299999999999999,3,1,1
D_50_SF_30,8,50,6.779999999999999,5,2,1,50,4.199999999999999,4,1,1,50,9.279999999999998,8,2,1
D_50_SF_30,9,50,4.359999999999999,7,2,1,50,5.52,5,1,1,50,6.78,10,2,1
D_50_SF_30,10,50,7.039999999999999,6,2,1,50,5.399999999999999,6,1,1,45,3.2,5,1,1
D_50_SF_30,11,50,7.399999999999999,8,2,1,50,2.62,5,1,1,50,4.34,2,1,1
D_50_SF_30,12,50,7.9399999999999995,5,2,1,50,3.92,3,1,1,50,4.68,4,1,1
D_50_SF_30,13,50,5.82,8,3,1,50,4.859999999999998,7,1,1,50,2.66,3,1,1
D_50_SF_30,14,50,6.08,7,2,1,50,5.959999999999999,4,1,1,50,8.879999999999995,9,2,1
D_50_SF_30,15,50,6.88,4,2,1,50,3.3999999999999986,4,1,1,50,3.4200000000000004,2,1,1
D_50_SF_30,16,50,4.199999999999999,3,2,1,50,2.98,4,1,1,50,4.859999999999999,5,2,1
D_50_SF_30,17,50,6.66,6,2,1,50,3.8600000000000003,12,1,1,50,2.4399999999999995,2,1,1
D_50_SF_30,18,50,1.96,4,1,1,50,2.5000000000000004,6,1,1,50,11.559999999999999,5,2,1
D_50_SF_30,19,50,3.3400000000000003,6,2,1,50,3.3400000000000003,4,1,1,45,10.8,3,1,1
D_50_SF_30,20,50,7.84,5,2,1,50,5.479999999999999,6,1,1,50,3.32,4,1,1
D_50_SF_30,21,50,4.32,5,2,1,50,4.479999999999999,6,1,1,50,6.5,6,2,1
D_50_SF_30,22,50,6.579999999999998,6,2,1,50,6.02,3,1,1,50,6.199999999999999,3,1,1
D_50_SF_30,23,50,3.46,4,2,1,50,4.399999999999999,4,1,1,50,9.639999999999997,8,2,1
D_50_SF_30,24,50,7.640000000000001,5,2,1,50,5.9,2,1,1,50,4.72,4,2,1
D_50_SF_30,25,50,5.760000000000001,6,2,1,50,0.25999999999999995,6,1,1,50,9.280000000000001,4,2,1
D_50_SF_30,26,50,11.92,5,3,1,50,5.339999999999996,9,1,1,45,3.1199999999999997,3,1,1
D_50_SF_30,27,50,6.139999999999999,7,2,1,50,2.52,4,1,1,50,14.079999999999998,5,2,1
D_50_SF_30,28,50,4.620000000000001,5,2,1,50,5.3199999999999985,5,1,1,50,2.7600000000000002,5,1,1
D_50_SF_30,29,50,8.459999999999999,5,2,1,50,3.8200000000000003,5,1,1,50,5.6999999999999975,6,1,1
